Designator,Mid X,Mid Y,Rotation,Layer
ANALOGICI1,80.1625,88.0,180.0,top
ANT1,15.368,31.242,180.0,top
C1,58.166,15.748,90.0,top
C10,65.9,79.1,270.0,top
C11,27.1,48.5,270.0,top
C12,20.8,48.2,90.0,top
C13,46.0,44.4,90.0,top
C14,39.7,44.3,270.0,top
C16,26.8,44.9,90.0,top
C17,30.607,32.946,270.0,top
C18,39.8,40.8,0.0,top
C19,72.6,79.1,270.0,top
C2,70.5,19.9,0.0,top
C20,43.1,33.6,90.0,top
C21,56.3372,3.0988,90.0,top
C22,21.1,62.1,270.0,top
C23,40.9,61.9,180.0,top
C24,17.8,2.7,270.0,top
C25,19.2,73.1,180.0,top
C26,51.8625,76.6,0.0,top
C27,40.5,69.2,270.0,top
C28,37.55,22.775,0.0,top
C29,33.2,73.6,0.0,top
C3,29.083,32.893,270.0,top
C30,19.2,70.8,180.0,top
C31,32.9,79.0,90.0,top
C32,37.55,20.2,0.0,top
C33,16.05,80.9,270.0,top
C34,21.6,79.55,270.0,top
C35,37.6,77.0,0.0,top
C36,39.9,83.2,0.0,top
C37,77.4,75.6,0.0,top
C38,53.5,65.4,0.0,top
C39,38.4,57.5,90.0,top
C4,70.4,22.5,0.0,top
C40,17.399,43.053,90.0,top
C41,61.468,25.019,90.0,top
C48,23.728,30.282,270.0,top
C49,25.4508,33.401,270.0,top
C5,43.688,38.354,90.0,top
C6,69.342,26.416,0.0,top
C7,61.214,33.147,180.0,top
C8,20.5,43.1,90.0,top
C9,26.797,38.227,270.0,top
CAN1,27.432,88.0,0.0,top
D1,7.7,56.6,0.0,top
D10,37.6,80.0,0.0,top
D11,7.3,77.3,0.0,top
D12,41.8,26.5,270.0,top
D13,47.1,26.5,270.0,top
D14,69.088,41.021,180.0,top
D15,21.717,21.336,0.0,top
D19,7.4,82.7,0.0,top
D2,7.6,65.8,0.0,top
D22,8.0,38.7,0.0,top
D23,7.3,87.1,0.0,top
D24,8.2,45.9,0.0,top
D25,7.65,53.0,0.0,top
D26,68.8,84.6,0.0,top
D27,9.925,42.4076,0.0,top
D28,9.3,62.6,0.0,top
D3,7.35,70.3,0.0,top
D4,73.5,3.8,270.0,top
D5,54.229,16.51,270.0,top
D6,52.0,26.5,270.0,top
D7,28.702,27.775,0.0,top
D8,28.702,25.781,0.0,top
D9,18.95,80.8875,90.0,top
EXT_POWER1,65.451,4.445,0.0,top
F1,57.1,25.8,270.0,top
F3,13.2,38.6,180.0,top
F5,14.3,58.875,90.0,top
FID1,13.4,90.3,0.0,top
FID2,90.4,3.0,0.0,top
FID3,11.25,2.5,0.0,top
FL1,28.225,79.55,180.0,top
FL2,43.5,79.8,180.0,top
IC1,55.753,8.8,90.0,top
IC10,32.55,42.1,90.0,top
IC2,23.8,67.9,90.0,top
IC3,44.505,67.375,90.0,top
IC4,36.3625,9.65,90.0,top
IC5,26.6,74.5,0.0,top
IC6,45.6,74.5,0.0,top
IC7,31.3375,21.475,270.0,top
IC8,85.6,12.192,0.0,top
IC9,86.1125,21.6,270.0,top
J1,44.57,15.8,90.0,top
J4,27.81,15.6,90.0,top
J5,2.2,81.34,0.0,top
J6,2.2,63.695,0.0,top
J7,2.2,46.32,0.0,top
K1,82.2645,52.82,90.0,top
L1,69.2,80.8,0.0,top
L2,20.574,39.497,180.0,top
L3,23.749,33.528,270.0,top
L5,64.897,24.765,90.0,top
LCD1,23.622,57.277,90.0,top
LED10,71.9,47.95,90.0,top
LED2,53.594,61.6,90.0,top
LED3,62.747,61.6,90.0,top
LED4,71.9,61.6,90.0,top
LED5,53.594,54.775,90.0,top
LED6,62.45,54.775,90.0,top
LED7,71.9,54.775,90.0,top
LED8,53.2,47.95,90.0,top
LED9,62.45,47.95,90.0,top
PS1,66.1075,12.6175,0.0,top
PS2,36.5,65.99,90.0,top
Q1,77.4,40.7,270.0,top
Q2,47.6,60.0,90.0,top
R1,65.405,41.021,180.0,top
R10,43.3,57.7,270.0,top
R11,34.9,49.2,90.0,top
R12,43.7,13.1,0.0,top
R13,53.7,3.3,270.0,top
R14,47.3,13.1,0.0,top
R15,41.6,57.7,90.0,top
R16,47.8,57.4,180.0,top
R17,20.7,9.9,270.0,top
R18,18.8,9.8875,270.0,top
R19,20.4,3.1875,90.0,top
R2,32.7,54.3,0.0,top
R20,40.2844,74.676,90.0,top
R21,34.3916,75.2348,0.0,top
R22,52.0,72.6,0.0,top
R23,51.9,74.9,180.0,top
R24,41.9,47.3,180.0,top
R25,21.717,19.177,180.0,top
R26,32.38,27.745,0.0,top
R27,32.45,25.675,0.0,top
R28,39.37,86.36,90.0,top
R29,23.65,79.8,270.0,top
R3,41.7,38.4,90.0,top
R30,7.4,59.2,0.0,top
R31,7.3,67.8,0.0,top
R32,7.2,72.6,0.0,top
R33,61.087,35.687,180.0,top
R34,48.3,63.5,270.0,top
R35,7.2,79.8,0.0,top
R36,7.4,85.0,0.0,top
R37,8.255,36.322,0.0,top
R38,7.8,48.2,0.0,top
R39,7.7,51.0,0.0,top
R4,37.5,49.1,270.0,top
R41,7.4,89.3,0.0,top
R42,32.639,31.877,90.0,top
R43,43.3,19.5,270.0,top
R44,45.0,19.5,270.0,top
R47,74.3,40.5,270.0,top
R48,65.4,73.8,0.0,top
R49,79.7,73.5,180.0,top
R5,45.0,50.4,90.0,top
R50,65.5,71.9,180.0,top
R51,79.5,70.6,0.0,top
R52,35.91,30.5,0.0,top
R53,35.91,28.51,0.0,top
R54,45.4,61.2,270.0,top
R55,43.6,61.2,270.0,top
R56,23.7,62.1,90.0,top
R57,25.4,62.1,90.0,top
R58,19.1,48.2,90.0,top
R6,29.8,52.7,180.0,top
R63,27.8,60.8,90.0,top
R64,29.5,60.8,90.0,top
R67,29.5,64.2112,90.0,top
R68,27.813,64.2112,90.0,top
R7,46.8,50.4,90.0,top
R9,41.3,33.6,270.0,top
RELE1,92.0125,59.944,270.0,top
RS1,49.62,88.0,0.0,top
RV1,84.7605,77.278,90.0,top
S2,49.3,33.9,0.0,top
S3,49.2,38.9,0.0,top
S4,59.2,38.9,0.0,top
U1,68.707,34.798,90.0,top
U2,41.2,52.1,0.0,top
U3,71.2,72.5,0.0,top
U4,87.376,32.004,180.0,top
USBC_ESP32,45.394,6.5425,0.0,top
USBC_FTDI1,28.1,6.5425,0.0,top
Y1,23.8,48.3,180.0,top
Y2,43.0,43.7,0.0,top
